Vernier Format 2
Ge_Fehler_MaxAbs.cmbl 06.10.2014 13:00:58 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	29,952783282	0,030525	0,831502	1650,37896857	0,750736663275
0,5	29,88758026	0,032967	0,811966	1647,11866076	0,752222671942
1	29,88758026	0,019536	0,842491	1647,11866076	0,752222671942
1,5	29,88758026	0,030525	0,818071	1647,11866076	0,752222671942
2	29,88758026	0,0805861	0,821734	1647,11866076	0,752222671942
2,5	29,88758026	0,00610501	0,827839	1647,11866076	0,752222671942
3	29,88758026	0,0598291	0,793651	1647,11866076	0,752222671942
3,5	29,88758026	0,02442	0,840049	1647,11866076	0,752222671942
4	29,952783282	0,0598291	0,81685	1650,37896857	0,750736663275
4,5	29,88758026	0,0720391	0,821734	1647,11866076	0,752222671942
5	29,88758026	0,00732601	0,826618	1647,11866076	0,752222671942
5,5	29,88758026	0,032967	0,807082	1647,11866076	0,752222671942
6	29,88758026	0,030525	0,822955	1647,11866076	0,752222671942
6,5	29,88758026	0,0598291	0,789988	1647,11866076	0,752222671942
7	29,952783282	0,026862	0,844933	1650,37896857	0,750736663275
7,5	29,88758026	0,0598291	0,807082	1647,11866076	0,752222671942
8	29,952783282	0,00976801	0,835165	1650,37896857	0,750736663275
8,5	29,88758026	0,037851	0,802198	1647,11866076	0,752222671942
9	29,952783282	0,021978	0,837607	1650,37896857	0,750736663275
9,5	29,88758026	0,045177	0,810745	1647,11866076	0,752222671942
10	29,88758026	0,0757021	0,835165	1647,11866076	0,752222671942
10,5	29,88758026	0,045177	0,82906	1647,11866076	0,752222671942
11	29,952783282	0,0647131	0,831502	1650,37896857	0,750736663275
11,5	29,88758026	0,00854701	0,811966	1647,11866076	0,752222671942
12	29,88758026	0,041514	0,832723	1647,11866076	0,752222671942
12,5	29,88758026	0,0634921	0,809524	1647,11866076	0,752222671942
13	29,88758026	0,0512821	0,843712	1647,11866076	0,752222671942
13,5	29,88758026	0,00976801	0,831502	1647,11866076	0,752222671942
14	29,88758026	0,0586081	0,821734	1647,11866076	0,752222671942
14,5	29,88758026	0,015873	0,809524	1647,11866076	0,752222671942
15	29,88758026	0,040293	0,809524	1647,11866076	0,752222671942
15,5	29,88758026	0,025641	0,832723	1647,11866076	0,752222671942
16	29,952783282	0,04884	0,809524	1650,37896857	0,750736663275
16,5	29,88758026	0,046398	0,848596	1647,11866076	0,752222671942
17	29,952783282	0,046398	0,799756	1650,37896857	0,750736663275
17,5	29,88758026	0,025641	0,830281	1647,11866076	0,752222671942
18	29,952783282	0,04884	0,797314	1650,37896857	0,750736663275
18,5	29,88758026	0,029304	0,831502	1647,11866076	0,752222671942
19	29,952783282	0,0500611	0,810745	1650,37896857	0,750736663275
19,5	29,88758026	0,020757	0,846154	1647,11866076	0,752222671942
20	29,952783282	0,0634921	0,798535	1650,37896857	0,750736663275
20,5	29,88758026	0,017094	0,826618	1647,11866076	0,752222671942
21	29,88758026	0,042735	0,796093	1647,11866076	0,752222671942
21,5	29,88758026	0,025641	0,84127	1647,11866076	0,752222671942
22	29,88758026	0,0586081	0,826618	1647,11866076	0,752222671942
22,5	29,88758026	0,017094	0,836386	1647,11866076	0,752222671942
23	29,88758026	0,0634921	0,80464	1647,11866076	0,752222671942
23,5	29,88758026	0,025641	0,842491	1647,11866076	0,752222671942
24	29,88758026	0,045177	0,805861	1647,11866076	0,752222671942
24,5	29,88758026	0,043956	0,835165	1647,11866076	0,752222671942
25	29,88758026	0,043956	0,822955	1647,11866076	0,752222671942
25,5	29,88758026	0,010989	0,84127	1647,11866076	0,752222671942
