Vernier Format 2
Ge_Fehler_MaxTrans.cmbl 06.10.2014 12:58:14 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	36,021474387	1,04151	0,0561661	1943,91287659	0,637374243939
0,5	36,021474387	1,01221	0,0573871	1943,91287659	0,637374243939
1	36,021474387	1,02808	0,045177	1943,91287659	0,637374243939
1,5	36,021474387	1,01099	0,0781441	1943,91287659	0,637374243939
2	36,021474387	1,0293	0,03663	1943,91287659	0,637374243939
2,5	36,021474387	1,0293	0,0634921	1943,91287659	0,637374243939
3	36,021474387	0,980464	0,046398	1943,91287659	0,637374243939
3,5	36,021474387	1,03053	0,043956	1943,91287659	0,637374243939
4	36,021474387	0,998779	0,0866911	1943,91287659	0,637374243939
4,5	36,021474387	0,989011	0,0549451	1943,91287659	0,637374243939
5	36,021474387	1,04029	0,0622711	1943,91287659	0,637374243939
5,5	36,021474387	0,993895	0,0610501	1943,91287659	0,637374243939
6	36,021474387	0,997558	0,040293	1943,91287659	0,637374243939
6,5	36,021474387	1,02564	0,0622711	1943,91287659	0,637374243939
7	36,021474387	0,970696	0,0671551	1943,91287659	0,637374243939
7,5	36,021474387	1,02076	0,041514	1943,91287659	0,637374243939
8	36,021474387	1,03419	0,0683761	1943,91287659	0,637374243939
8,5	36,021474387	0,980464	0,04884	1943,91287659	0,637374243939
9	36,021474387	1,03419	0,041514	1943,91287659	0,637374243939
9,5	36,021474387	0,993895	0,0525031	1943,91287659	0,637374243939
10	36,021474387	1,02808	0,035409	1943,91287659	0,637374243939
10,5	36,021474387	1,02564	0,0757021	1943,91287659	0,637374243939
11	36,021474387	0,979243	0,0598291	1943,91287659	0,637374243939
11,5	36,021474387	1,06105	0,0622711	1943,91287659	0,637374243939
12	36,021474387	1,01099	0,0732601	1943,91287659	0,637374243939
12,5	36,021474387	1,00244	0,039072	1943,91287659	0,637374243939
13	36,021474387	1,02442	0,043956	1943,91287659	0,637374243939
13,5	36,021474387	0,98779	0,0671551	1943,91287659	0,637374243939
14	36,021474387	1,00733	0,0512821	1943,91287659	0,637374243939
14,5	36,021474387	1,02686	0,0659341	1943,91287659	0,637374243939
15	36,021474387	1,00611	0,0634921	1943,91287659	0,637374243939
15,5	36,021474387	1,04274	0,0525031	1943,91287659	0,637374243939
16	36,021474387	1,00855	0,0659341	1943,91287659	0,637374243939
16,5	36,021474387	1,01954	0,030525	1943,91287659	0,637374243939
17	36,021474387	1,00244	0,046398	1943,91287659	0,637374243939
17,5	36,021474387	0,980464	0,0549451	1943,91287659	0,637374243939
18	36,021474387	1,03663	0,0622711	1943,91287659	0,637374243939
18,5	36,021474387	1,01221	0,0757021	1943,91287659	0,637374243939
19	36,021474387	1,00488	0,042735	1943,91287659	0,637374243939
19,5	36,021474387	1,03663	0,047619	1943,91287659	0,637374243939
20	36,021474387	0,992674	0,0598291	1943,91287659	0,637374243939
20,5	36,021474387	1,05495	0,045177	1943,91287659	0,637374243939
21	36,021474387	0,985348	0,0769231	1943,91287659	0,637374243939
21,5	36,021474387	1,03541	0,045177	1943,91287659	0,637374243939
22	36,021474387	1,04274	0,0732601	1943,91287659	0,637374243939
22,5	36,021474387	0,989011	0,0586081	1943,91287659	0,637374243939
23	36,021474387	1,02808	0,039072	1943,91287659	0,637374243939
23,5	36,021474387	0,997558	0,0634921	1943,91287659	0,637374243939
24	36,021474387	1,00977	0,02442	1943,91287659	0,637374243939
24,5	36,021474387	1,01221	0,0757021	1943,91287659	0,637374243939
25	36,021474387	0,997558	0,0573871	1943,91287659	0,637374243939
