Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-7,700370008	0,010989	0,030525	-442,909430521	-2,79741164812
0,5	-7,76557303	0,00732601	0,04884	-446,63687908	-2,77406559564
1	-7,700370008	0,034188	0,020757	-442,909430521	-2,79741164812
1,5	-7,700370008	0,021978	0,03663	-442,909430521	-2,79741164812
2	-7,700370008	0,0927961	0,047619	-442,909430521	-2,79741164812
2,5	-7,504226491	0,015873	0,043956	-431,693093428	-2,87009456223
3	-6,916864842	0,0586081	0,034188	-398,075471124	-3,11247512061
3,5	-6,656052754	0,00610501	0,018315	-383,134278659	-3,23385316588
4	-6,395240666	0,00732601	0,0549451	-368,185147292	-3,36515475736
4,5	-5,873082039	0,040293	0,03663	-338,233635652	-3,66314839626
5	-5,6117355	0,018315	0,0659341	-323,231847249	-3,83316189462
5,5	-5,090111324	0,040293	0,00732601	-293,269830654	-4,22477824343
6	-4,763561763	0,015873	0,0512821	-274,500342328	-4,51365557323
6,5	-4,567952697	0,0830281	0,029304	-263,252771573	-4,70650315511
7	-3,980591048	0,00854701	0,046398	-229,461414892	-5,39960062821
7,5	-3,719244509	0,0781441	0,0537241	-214,417989112	-5,77843307427
8	-3,197620333	0,0940171	0,017094	-184,379637668	-6,71983097305
8,5	-2,936273794	0,0879121	0,0561661	-169,323782769	-7,31734183903
9	-2,675461706	0,140415	0,018315	-154,295204585	-8,03006161686
9,5	-2,088100057	0,166056	0,0598291	-120,438875856	-10,2873759921
10	-1,827287969	0,217338	0,030525	-105,401041078	-11,7551021064
10,5	-1,305129342	0,815629	0,032967	-75,2883058842	-16,4567390041
11	-1,043782803	4,79365	0,00854701	-60,214023032	-20,5766022201
11,5	-0,782970715	4,99267	0,030525	-45,1693177516	-27,4301242896
12	-0,260812088	4,99267	0,045177	-15,0465781602	-82,3443035893
12,5	0	4,99145	0,023199	0	 
13	0,522158627	4,99267	0,039072	30,1236765205	41,1304376861
13,5	0,782970715	4,99145	0,00610501	45,1693177516	27,4301242896
14	1,370332364	2,1685	0,045177	79,0489379812	15,6738348628
14,5	1,566475881	0,506716	0,03663	90,3610222919	13,7116642616
15	1,892490991	0,239316	0,0634921	109,160716696	11,3502369488
15,5	2,414649618	0,181929	0,02442	139,263429258	8,89680806079
16	2,675461706	0,0879121	0,045177	154,295204585	8,03006161686
16,5	3,197620333	0,0952381	0,021978	184,379637668	6,71983097305
17	3,524169894	0,0512821	0,0671551	203,186331206	6,09785113323
17,5	3,71977896	0,0708181	0,040293	214,448757422	5,77760400616
18	4,307140609	0,043956	0,0695971	248,251260239	4,99091121958
18,5	4,567952697	0,0610501	0,017094	263,252771573	4,70650315511
19	5,090111324	0,00732601	0,046398	293,269830654	4,22477824343
19,5	5,350923412	0,03663	0,025641	308,254032608	4,01941213719
20	5,938285061	0,01221	0,0537241	341,975328418	3,62306838254
20,5	6,134428578	0,015873	0,047619	353,228386784	3,50764560935
21	6,721790227	0,00610501	0,03663	386,900954478	3,20236997521
21,5	6,917399293	0,018315	0,03663	398,106079959	3,11223581445
22	7,243414403	0,00610501	0,014652	416,770913202	2,9728562161
22,5	7,76557303	0,00976801	0,0610501	446,63687908	2,77406559564
23	8,026919569	0,021978	0,018315	461,571372029	2,68430859252
23,5	8,548543745	0,010989	0,0586081	491,350255779	2,52162278421
24	8,809890284	0,00976801	0,010989	506,255049515	2,44738299635
24,5	9,332048911	0,00610501	0,043956	536,002302589	2,31155723402
25	9,658064021	0,018315	0,019536	554,552888637	2,23423234355
