Vernier Format 2
Ge_Messung.cmbl 06.10.2014 12:49:07 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-5,873082039	0,00610501	0,014652	-338,233635652	-3,66314839626
0,5	-5,873082039	0,00610501	0,015873	-338,233635652	-3,66314839626
1	-5,873082039	0,00610501	0,042735	-338,233635652	-3,66314839626
1,5	-5,873082039	0,014652	0,025641	-338,233635652	-3,66314839626
2	-5,807879017	0,00610501	0,042735	-334,491504852	-3,70412994658
2,5	-5,6117355	0,00732601	0,00854701	-323,231847249	-3,83316189462
3	-5,28572039	0,00610501	0,028083	-304,508568804	-4,06885101745
3,5	-5,090111324	0,00610501	0,00854701	-293,269830654	-4,22477824343
4	-4,502749675	0,00732601	0,047619	-259,502892991	-4,77451324616
4,5	-4,241403136	0,00732601	0,021978	-244,469317706	-5,06812066082
5	-3,980591048	0,00732601	0,041514	-229,461414892	-5,39960062821
5,5	-3,458432421	0,00610501	0,021978	-199,400879276	-6,21361352315
6	-3,197620333	0,00610501	0,020757	-184,379637668	-6,71983097305
6,5	-2,871070772	0,00732601	0,043956	-165,566954986	-7,48337734485
7	-2,348912145	0,015873	0,017094	-135,474215027	-9,14565181094
7,5	-2,088100057	0,031746	0,0610501	-120,438875856	-10,2873759921
8	-1,56594143	0,014652	0,0561661	-90,3302005525	-13,7163428446
8,5	-1,305129342	0,449328	0,206349	-75,2883058842	-16,4567390041
9	-0,782970715	4,99267	1,71062	-45,1693177516	-27,4301242896
9,5	-0,522158627	4,99145	4,09768	-30,1236765205	-41,1304376861
10	0	4,99267	4,9939	0	 
10,5	0,261346539	4,99267	4,6398	15,0774110985	82,1759114947
11	0,782970715	4,99267	2,09524	45,1693177516	27,4301242896
11,5	1,044317254	1,14896	0,26862	60,2448511716	20,5660728827
12	1,631678903	0,144078	0,0708181	94,121214697	13,1638760081
12,5	1,892490991	0,0647131	0,0634921	109,160716696	11,3502369488
13	2,219040552	0,00610501	0,03663	127,987687008	9,68061872956
13,5	2,675461706	0,00610501	0,025641	154,295204585	8,03006161686
14	2,936808245	0,00732601	0,0525031	169,35457554	7,31601136874
14,5	3,458966872	0,00610501	0,026862	199,431656373	6,21265461327
15	3,71977896	0,015873	0,037851	214,448757422	5,77760400616
15,5	4,307140609	0,00610501	0,040293	248,251260239	4,99091121958
16	4,567952697	0,00732601	0,00732601	263,252771573	4,70650315511
16,5	5,090111324	0,00732601	0,029304	293,269830654	4,22477824343
17	5,350923412	0,00610501	0,032967	308,254032608	4,01941213719
17,5	5,873082039	0,00488401	0,00854701	338,233635652	3,66314839626
18	6,1996316	0,00610501	0,021978	356,968275197	3,47089667651
18,5	6,721790227	0,00610501	0,046398	386,900954478	3,20236997521
19	6,917399293	0,00610501	0,015873	398,106079959	3,11223581445
19,5	7,43955792	0,018315	0,029304	427,993948621	2,89490074332
20	7,76557303	0,00732601	0,041514	446,63687908	2,77406559564
20,5	8,092122591	0,00610501	0,017094	465,295875302	2,66282179956
21	8,548543745	0,00732601	0,00854701	491,350255779	2,52162278421
21,5	8,809890284	0,00610501	0,014652	506,255049515	2,44738299635
22	9,397251933	0,00610501	0,00732601	539,713827333	2,29566102859
22,5	9,592860999	0,00610501	0,019536	550,844188572	2,24927488699
23	10,180222648	0,00610501	0,041514	584,226579299	2,1207525366
23,5	10,441034736	0,00732601	0,018315	599,030221434	2,06834305794
24	10,963193363	0,00732601	0,03663	628,630232376	1,97095197811
24,5	11,224005451	0,00610501	0,00976801	643,395690901	1,9257200779
25	11,746164078	0,00610501	0,00854701	672,916494596	1,84123886091
