Vernier Format 2
Ge_Untergrund.cmbl 06.10.2014 12:51:31 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	59,7098277318	0,00610501	0,023199	2854,2202925	0,434094033757
0,5	59,7098277318	0,00610501	0,030525	2854,2202925	0,434094033757
1	59,7098277318	0,00610501	0,0549451	2854,2202925	0,434094033757
1,5	59,187775995	0,00610501	0,046398	2838,91115954	0,436434932399
2	58,6657242582	0,00976801	0,026862	2823,36634229	0,43883784454
2,5	58,0784160543	0,00610501	0,0659341	2805,59831413	0,441617031832
3	57,6216207846	0,00610501	0,041514	2791,57483649	0,44383549522
3,5	57,0343125807	0,00610501	0,035409	2773,28405281	0,446762746407
4	56,5122608439	0,00610501	0,030525	2756,78089271	0,449437241559
4,5	55,9902091071	0,00488401	0,0683761	2740,04886672	0,452181716556
5	55,4681573703	0,00610501	0,020757	2723,08936392	0,454997921264
5,5	54,6850797651	0,00610501	0,040293	2697,22667576	0,45936072453
6	54,1630280283	0,00610501	0,0537241	2679,70468181	0,462364382318
6,5	53,6409762915	0,00610501	0,0561661	2661,96022078	0,465446474493
7	53,0536680876	0,00610501	0,025641	2641,73361937	0,469010195016
7,5	52,5316163508	0,00610501	0,0683761	2623,52132989	0,472266028824
8	52,0748210811	0,00610501	0,026862	2607,40685812	0,475184759195
8,5	51,4875128772	0,00610501	0,035409	2586,44487263	0,479035920351
9	50,8349482062	0,00610501	0,0586081	2562,83514286	0,48344896606
9,5	50,1823835352	0,00610501	0,046398	2538,89296961	0,488007968367
10	49,5950753313	0,00610501	0,029304	2517,06334048	0,492240294503
10,5	49,0730235945	0,00610501	0,0634921	2497,43712915	0,496108584891
11	48,5509718577	0,00488401	0,047619	2477,60358246	0,500080000194
11,5	48,0289201209	0,00854701	0,025641	2457,56434698	0,504157704568
12	47,441611917	0,00610501	0,0512821	2434,77641675	0,508876294134
12,5	46,6585343118	0,00610501	0,0634921	2403,99497825	0,515392091584
13	46,136482575	0,00488401	0,023199	2383,2241907	0,519883947484
13,5	45,6144308382	0,00610501	0,041514	2362,25554965	0,524498714876
14	45,0271226343	0,00488401	0,0549451	2338,43149985	0,529842332383
14,5	44,5703273646	0,00610501	0,00732601	2319,73168656	0,534113495616
15	43,983179496	0,00610501	0,0647131	2295,47923712	0,539756570204
15,5	43,19967433	0,00610501	0,041514	2262,74113277	0,547565950897
16	42,678050154	0,00610501	0,032967	2240,71050435	0,552949610222
16,5	42,090688505	0,00610501	0,03663	2215,68126763	0,559195953905
17	41,568529878	0,00610501	0,0708181	2193,2349358	0,56491896047
17,5	41,111574273	0,00610501	0,029304	2173,44200326	0,570063520509
18	40,524212624	0,00610501	0,042735	2147,79768564	0,576869976294
18,5	39,741241909	0,00610501	0,037851	2113,26252612	0,586297246407
19	39,219083282	0,00610501	0,0525031	2090,0114827	0,592819709487
19,5	38,697459106	0,00610501	0,032967	2066,61092119	0,599532300587
20	38,175300479	0,00610501	0,0512821	2043,01483344	0,606456683388
20,5	37,58793883	0,00610501	0,031746	2016,26956752	0,614501165896
21	37,065780203	0,00610501	0,019536	1992,31529316	0,621889519321
21,5	36,282809488	0,00610501	0,0610501	1956,08668157	0,633407512906
22	35,760650861	0,00610501	0,0512821	1931,72257947	0,641396447486
22,5	35,238492234	0,00610501	0,018315	1907,19804153	0,649644123485
23	34,716333607	0,00610501	0,0512821	1882,51510459	0,658162049793
23,5	34,129506409	0,00610501	0,037851	1854,58873057	0,668072645744
24	33,346001243	0,00976801	0,028083	1816,99993585	0,681893254674
