Vernier Format 2
Si_Fehler_MaxAbs.cmbl 06.10.2014 12:04:13 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	37,8489112533	0,0891331	1,07082	1013,48124915	1,22251891788
0,5	37,8489112533	0,0879121	1,08181	1013,48124915	1,22251891788
1	37,8489112533	0,0903541	1,07814	1013,48124915	1,22251891788
1,5	37,8489112533	0,0891331	1,07326	1013,48124915	1,22251891788
2	37,8489112533	0,0891331	1,0757	1013,48124915	1,22251891788
2,5	37,8489112533	0,0915751	1,07692	1013,48124915	1,22251891788
3	37,8489112533	0,0866911	1,07448	1013,48124915	1,22251891788
3,5	37,8489112533	0,0976801	1,06838	1013,48124915	1,22251891788
4	37,8489112533	0,0927961	1,07692	1013,48124915	1,22251891788
4,5	37,8489112533	0,0952381	1,07082	1013,48124915	1,22251891788
5	37,8489112533	0,0879121	1,06838	1013,48124915	1,22251891788
5,5	37,8489112533	0,0842491	1,07326	1013,48124915	1,22251891788
6	37,8489112533	0,0903541	1,06716	1013,48124915	1,22251891788
6,5	37,8489112533	0,0976801	1,07326	1013,48124915	1,22251891788
7	37,8489112533	0,0879121	1,07448	1013,48124915	1,22251891788
7,5	37,8489112533	0,0866911	1,06349	1013,48124915	1,22251891788
8	37,8489112533	0,0927961	1,0757	1013,48124915	1,22251891788
8,5	37,8489112533	0,0903541	1,07448	1013,48124915	1,22251891788
9	37,8489112533	0,0866911	1,0696	1013,48124915	1,22251891788
9,5	37,8489112533	0,0879121	1,07326	1013,48124915	1,22251891788
10	37,8489112533	0,0927961	1,07692	1013,48124915	1,22251891788
10,5	37,8489112533	0,0805861	1,07326	1013,48124915	1,22251891788
11	37,8489112533	0,0866911	1,0696	1013,48124915	1,22251891788
11,5	37,8489112533	0,0854701	1,07448	1013,48124915	1,22251891788
12	37,8489112533	0,0830281	1,06838	1013,48124915	1,22251891788
12,5	37,8489112533	0,0940171	1,08059	1013,48124915	1,22251891788
13	37,8489112533	0,0854701	1,0757	1013,48124915	1,22251891788
13,5	37,8489112533	0,0854701	1,07204	1013,48124915	1,22251891788
14	37,8489112533	0,0903541	1,07448	1013,48124915	1,22251891788
14,5	37,8489112533	0,0842491	1,06838	1013,48124915	1,22251891788
15	37,8489112533	0,0915751	1,07326	1013,48124915	1,22251891788
15,5	37,8489112533	0,0830281	1,0696	1013,48124915	1,22251891788
16	37,8489112533	0,0891331	1,07204	1013,48124915	1,22251891788
16,5	37,8489112533	0,0903541	1,06838	1013,48124915	1,22251891788
17	37,8489112533	0,0805861	1,0696	1013,48124915	1,22251891788
17,5	37,8489112533	0,0964591	1,07204	1013,48124915	1,22251891788
18	37,8489112533	0,0842491	1,07082	1013,48124915	1,22251891788
18,5	37,8489112533	0,0964591	1,07937	1013,48124915	1,22251891788
19	37,8489112533	0,0854701	1,07204	1013,48124915	1,22251891788
19,5	37,8489112533	0,0830281	1,07448	1013,48124915	1,22251891788
20	37,8489112533	0,0818071	1,07814	1013,48124915	1,22251891788
20,5	37,8489112533	0,0989011	1,0757	1013,48124915	1,22251891788
21	37,8489112533	0,0866911	1,08059	1013,48124915	1,22251891788
21,5	37,8489112533	0,0927961	1,0757	1013,48124915	1,22251891788
22	37,8489112533	0,0854701	1,07448	1013,48124915	1,22251891788
22,5	37,8489112533	0,0903541	1,08059	1013,48124915	1,22251891788
23	37,8489112533	0,0891331	1,07692	1013,48124915	1,22251891788
23,5	37,8489112533	0,0891331	1,07692	1013,48124915	1,22251891788
24	37,8489112533	0,0903541	1,07692	1013,48124915	1,22251891788
