Vernier Format 2
Si_Fehler_MaxTrans.cmbl 06.10.2014 12:07:11 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-11,354411495	0,962149	0,13431	-325,191526938	-3,81006237052
0,5	-11,354411495	0,959707	0,142857	-325,191526938	-3,81006237052
1	-11,354411495	0,954823	0,133089	-325,191526938	-3,81006237052
1,5	-11,354411495	0,948718	0,133089	-325,191526938	-3,81006237052
2	-11,354411495	0,958486	0,133089	-325,191526938	-3,81006237052
2,5	-11,354411495	0,967033	0,137973	-325,191526938	-3,81006237052
3	-11,354411495	0,959707	0,141636	-325,191526938	-3,81006237052
3,5	-11,354411495	0,952381	0,136752	-325,191526938	-3,81006237052
4	-11,289208473	0,947497	0,13431	-323,348405517	-3,83178014446
4,5	-11,354411495	0,956044	0,13431	-325,191526938	-3,81006237052
5	-11,354411495	0,96337	0,13431	-325,191526938	-3,81006237052
5,5	-11,354411495	0,962149	0,142857	-325,191526938	-3,81006237052
6	-11,354411495	0,96337	0,13431	-325,191526938	-3,81006237052
6,5	-11,354411495	0,952381	0,135531	-325,191526938	-3,81006237052
7	-11,354411495	0,956044	0,13431	-325,191526938	-3,81006237052
7,5	-11,354411495	0,962149	0,137973	-325,191526938	-3,81006237052
8	-11,354411495	0,965812	0,142857	-325,191526938	-3,81006237052
8,5	-11,354411495	0,954823	0,13431	-325,191526938	-3,81006237052
9	-11,354411495	0,947497	0,13431	-325,191526938	-3,81006237052
9,5	-11,354411495	0,967033	0,13431	-325,191526938	-3,81006237052
10	-11,354411495	0,96337	0,137973	-325,191526938	-3,81006237052
10,5	-11,354411495	0,96337	0,142857	-325,191526938	-3,81006237052
11	-11,354411495	0,953602	0,133089	-325,191526938	-3,81006237052
11,5	-11,354411495	0,958486	0,136752	-325,191526938	-3,81006237052
12	-11,354411495	0,971917	0,136752	-325,191526938	-3,81006237052
12,5	-11,354411495	0,968254	0,137973	-325,191526938	-3,81006237052
13	-11,354411495	0,957265	0,141636	-325,191526938	-3,81006237052
13,5	-11,354411495	0,948718	0,133089	-325,191526938	-3,81006237052
14	-11,289208473	0,952381	0,13431	-323,348405517	-3,83178014446
14,5	-11,354411495	0,968254	0,137973	-325,191526938	-3,81006237052
15	-11,354411495	0,960928	0,137973	-325,191526938	-3,81006237052
15,5	-11,354411495	0,953602	0,141636	-325,191526938	-3,81006237052
16	-11,354411495	0,95116	0,130647	-325,191526938	-3,81006237052
16,5	-11,354411495	0,952381	0,13431	-325,191526938	-3,81006237052
17	-11,354411495	0,968254	0,136752	-325,191526938	-3,81006237052
17,5	-11,354411495	0,957265	0,139194	-325,191526938	-3,81006237052
18	-11,354411495	0,95116	0,139194	-325,191526938	-3,81006237052
18,5	-11,354411495	0,95116	0,129426	-325,191526938	-3,81006237052
19	-11,354411495	0,957265	0,13431	-325,191526938	-3,81006237052
19,5	-11,354411495	0,965812	0,137973	-325,191526938	-3,81006237052
20	-11,354411495	0,957265	0,137973	-325,191526938	-3,81006237052
20,5	-11,354411495	0,952381	0,135531	-325,191526938	-3,81006237052
21	-11,354411495	0,956044	0,130647	-325,191526938	-3,81006237052
21,5	-11,354411495	0,956044	0,137973	-325,191526938	-3,81006237052
22	-11,354411495	0,970696	0,140415	-325,191526938	-3,81006237052
22,5	-11,354411495	0,949939	0,136752	-325,191526938	-3,81006237052
23	-11,354411495	0,945055	0,13431	-325,191526938	-3,81006237052
23,5	-11,354411495	0,956044	0,130647	-325,191526938	-3,81006237052
24	-11,354411495	0,962149	0,139194	-325,191526938	-3,81006237052
