Vernier Format 2
Si_Lampe.cmbl 06.10.2014 11:57:35 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-2,153303079	0,355311	0,00854701	-62,0617264547	-19,9639950543
0,5	-2,153303079	0,352869	0,00732601	-62,0617264547	-19,9639950543
1	-2,153303079	0,349206	0,00976801	-62,0617264547	-19,9639950543
1,5	-2,153303079	0,350427	0,01221	-62,0617264547	-19,9639950543
2	-2,153303079	0,346764	0,00854701	-62,0617264547	-19,9639950543
2,5	-2,153303079	0,360195	0,00976801	-62,0617264547	-19,9639950543
3	-1,762084947	0,394383	0,00732601	-50,7901282084	-24,3945042808
3,5	-1,370332364	0,448107	0,00854701	-39,5007590512	-31,366485854
4	-1,043782803	1,34676	0,00976801	-30,0889509212	-41,1779062435
4,5	-0,782970715	4,9939	0,010989	-22,5711107901	-54,8931779
5	-0,522158627	4,99512	0,01221	-15,0528029643	-82,3102516479
5,5	0	4,9939	0,00732601	0	 
6	0,261346539	4,99512	0,00854701	7,53418323039	164,450473543
6,5	0,782970715	4,9939	0,00854701	22,5711107901	54,8931779
7	1,044317254	4,9939	0,00976801	30,1043557444	41,1568349284
7,5	1,566475881	2,0757	0,00976801	45,1534082599	27,4397891045
8	1,892490991	0,599512	0,00732601	54,5476166814	22,7140996322
8,5	2,414649618	0,373626	0,00976801	69,5899439546	17,8042965634
9	2,675461706	0,322344	0,00732601	77,1013229867	16,0697631636
9,5	2,936808245	0,295482	0,00976801	84,6264915566	14,6408054642
10	3,458432421	0,271062	0,01221	99,640631336	12,4346863663
10,5	3,71977896	0,246642	0,00854701	107,160056948	11,5621439115
11	4,241937587	0,239316	0,00854701	122,176697902	10,1410499815
11,5	4,502749675	0,225885	0,00732601	129,673611195	9,55475820089
12	4,829299236	0,211233	0,00854701	139,056308765	8,91005960826
12,5	5,28572039	0,200244	0,010989	152,162950098	8,14258660996
13	5,612269951	0,190476	0,00854701	161,534306993	7,67019726686
13,5	6,134428578	0,18315	0,00976801	176,508246065	7,01950207777
14	6,395240666	0,174603	0,00732601	183,982140189	6,73434931635
14,5	6,656052754	0,164835	0,00976801	191,452222029	6,47158850843
15	7,243414403	0,167277	0,01221	208,260450328	5,94928128719
15,5	7,43955792	0,151404	0,00854701	213,8686018	5,79327675765
16	8,026385118	0,14652	0,00854701	230,631985853	5,37219499462
16,5	8,287731657	0,151404	0,00732601	238,089964013	5,20391527267
17	8,809890284	0,135531	0,00732601	252,975678612	4,89770402751
17,5	9,070702372	0,135531	0,01221	260,403126844	4,7580073827
18	9,592860999	0,125763	0,00976801	275,256874073	4,50124998393
18,5	9,918876109	0,124542	0,00976801	284,51944956	4,35471108185
19	10,115019626	0,117216	0,00732601	290,087760324	4,27112125867
19,5	10,636643802	0,115995	0,00854701	304,879411212	4,06390183933
20	10,963193363	0,115995	0,00976801	314,126564829	3,94427004502
20,5	11,224005451	0,106227	0,00976801	321,504865339	3,8537519446
21	11,746164078	0,10989	0,00976801	336,256412716	3,68468809261
21,5	12,007510617	0,111111	0,00732601	343,629325333	3,60562940547
22	12,594337815	0,106227	0,00732601	360,158172391	3,44015517341
22,5	12,790481332	0,108669	0,01221	365,67450306	3,38825920219
23	13,377842981	0,0989011	0,00976801	382,167545449	3,24203353935
23,5	13,573452047	0,0952381	0,00976801	387,65139447	3,19617062566
24	14,160813696	0,0964591	0,00732601	404,09051563	3,06614471777
24,5	14,421625784	0,0915751	0,00976801	411,376631245	3,01183855838
25	14,943784411	0,0989011	0,010989	425,938025658	2,90887388625
