Vernier Format 2
Si_Messung.cmbl 06.10.2014 11:45:23 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-8,026385118	0,028083	0,039072	-230,631985853	-5,37219499462
0,5	-8,026385118	0,029304	0,040293	-230,631985853	-5,37219499462
1	-7,961182096	0,02442	0,040293	-228,770550204	-5,41590689403
1,5	-8,026385118	0,029304	0,039072	-230,631985853	-5,37219499462
2	-7,961182096	0,032967	0,041514	-228,770550204	-5,41590689403
2,5	-7,700370008	0,031746	0,041514	-221,321869	-5,59818153351
3	-7,439023469	0,029304	0,046398	-213,853324109	-5,7936906296
3,5	-7,178211381	0,035409	0,045177	-206,395616429	-6,00303447059
4	-6,656052754	0,042735	0,047619	-191,452222029	-6,47158850843
4,5	-6,395240666	0,042735	0,04884	-183,982140189	-6,73434931635
5	-6,068691105	0,0500611	0,04884	-174,623873984	-7,09524976016
5,5	-5,612269951	0,047619	0,0500611	-161,534306993	-7,67019726686
6	-5,28572039	0,0525031	0,0525031	-152,162950098	-8,14258660996
6,5	-4,828764785	0,0586081	0,0549451	-139,040956075	-8,91104344343
7	-4,502749675	0,0647131	0,0586081	-129,673611195	-9,55475820089
7,5	-3,980591048	0,0671551	0,0622711	-114,661882786	-10,80568337
8	-3,71977896	0,0695971	0,0671551	-107,160056948	-11,5621439115
8,5	-3,197620333	0,0866911	0,0732601	-92,1345160031	-13,4477289701
9	-2,936808245	0,0879121	0,0793651	-84,6264915566	-14,6408054642
9,5	-2,675461706	0,103785	0,0842491	-77,1013229867	-16,0697631636
10	-2,088100057	0,115995	0,0915751	-60,1833134902	-20,5871017754
10,5	-1,827287969	0,140415	0,100122	-52,6689065496	-23,5243159801
11	-1,305129342	0,179487	0,144078	-37,6215709667	-32,9332339975
11,5	-1,044317254	1,35165	0,837607	-30,1043557444	-41,1568349284
12	-0,522158627	4,99512	3,4127	-15,0528029643	-82,3102516479
12,5	-0,260812088	4,99512	4,99756	-7,51877600925	-164,787459884
13	0,32601511	4,99634	4,99634	9,39845175416	131,830224
13,5	0,522158627	4,99512	4,35287	15,0528029643	82,3102516479
14	1,109520276	4,99634	1,61905	31,9837241151	38,7384532064
14,5	1,370332364	2,45177	0,313797	39,5007590512	31,366485854
15	1,892490991	0,412698	0,113553	54,5476166814	22,7140996322
15,5	2,153303079	0,167277	0,0744811	62,0617264547	19,9639950543
16	2,675461706	0,117216	0,0622711	77,1013229867	16,0697631636
16,5	2,936273794	0,0976801	0,0622711	84,6111044071	14,643468002
17	3,523635443	0,0854701	0,0598291	101,516843643	12,2048711873
17,5	3,784981982	0,0757021	0,0586081	109,035727649	11,3632478704
18	4,307140609	0,0757021	0,0561661	124,051169633	9,98781392922
18,5	4,567952697	0,0610501	0,0561661	131,547425747	9,41865637403
19	5,024908302	0,0586081	0,0537241	144,674569787	8,56404827621
19,5	5,350923412	0,0500611	0,0512821	154,034558586	8,04364949903
20	5,677472973	0,0512821	0,0500611	163,404892102	7,58239232659
20,5	6,133894127	0,046398	0,046398	176,492926901	7,0201113538
21	6,460443688	0,040293	0,047619	185,850024098	6,66666580224
21,5	6,982602315	0,039072	0,046398	200,799520622	6,17033345578
22	7,243414403	0,028083	0,045177	208,260450328	5,94928128719
22,5	7,76557303	0,030525	0,045177	223,184475269	5,55146140208
23	8,026385118	0,026862	0,041514	230,631985853	5,37219499462
23,5	8,548543745	0,026862	0,039072	245,527752288	5,04627272663
24	8,809355833	0,02442	0,03663	252,960452997	4,89799881888
24,5	9,33151446	0,018315	0,035409	267,825179279	4,62615204193
