Vernier Format 2
Si_Untergrund.cmbl 06.10.2014 11:51:08 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	80,7875543704	0,00610501	0,00732601	1630,44209978	0,759916589596
0,5	80,7875543704	0,00610501	0,00732601	1630,44209978	0,759916589596
1	80,7875543704	0,00610501	0,00854701	1630,44209978	0,759916589596
1,5	80,7223032478	0,00610501	0,010989	1630,13988874	0,760057470257
2	80,7223032478	0,00610501	0,00854701	1630,13988874	0,760057470257
2,5	80,5265338465	0,00488401	0,01221	1629,22049563	0,760486381875
3	80,200251511	0,00610501	0,01221	1627,64591123	0,761222076282
3,5	79,9392256426	0,00610501	0,00976801	1626,34823687	0,761829460574
4	79,4171739058	0,00610501	0,00854701	1623,65165159	0,763094718491
4,5	79,1561480374	0,00610501	0,00732601	1622,25279665	0,763752728651
5	78,6340963006	0,00610501	0,00854701	1619,3541073	0,765119867494
5,5	78,3730704322	0,00610501	0,00732601	1617,85433306	0,765829144617
6	77,7857622283	0,00610501	0,00732601	1614,3571184	0,767488175867
6,5	77,5247363599	0,00610501	0,00732601	1612,74833166	0,76825377877
7	77,0026846231	0,00610501	0,00854701	1609,43037486	0,769837589346
7,5	76,7416587547	0,00610501	0,00854701	1607,72127367	0,770655971463
8	76,2196070179	0,00610501	0,00854701	1604,20300307	0,772346141746
8,5	75,9585811495	0,00610501	0,00854701	1602,39390669	0,773218117487
9	75,6975552811	0,00610501	0,00976801	1600,55155274	0,774108149081
9,5	75,1755035443	0,00610501	0,00976801	1596,76722581	0,775942779868
10	74,6534518075	0,00610501	0,00976801	1592,85033647	0,777850857444
10,5	74,3924259391	0,00610501	0,00976801	1590,84228207	0,778832706398
11	73,8051177352	0,00610501	0,00854701	1586,20350294	0,781110366801
11,5	73,5440918668	0,00610501	0,00732601	1584,08829661	0,782153370273
12	73,02204013	0,00610501	0,00732601	1579,75929564	0,784296698502
12,5	72,7610142616	0,00610501	0,00732601	1577,54559086	0,785397269771
13	72,2389625248	0,00610501	0,00854701	1573,02000242	0,787656862657
13,5	71,9779366564	0,00610501	0,00854701	1570,70821269	0,788816146751
14	71,3906284525	0,00610501	0,00732601	1565,38756651	0,791497279339
14,5	71,1296025841	0,00610501	0,00732601	1562,97000595	0,792721546339
15	70,6075508473	0,00610501	0,00854701	1558,03761774	0,795231120156
15,5	70,3465249789	0,00610501	0,010989	1555,52289245	0,796516725028
16	69,8244732421	0,00610501	0,01221	1550,39664047	0,799150338473
16,5	69,5634473737	0,00610501	0,00976801	1547,78522018	0,800498663412
17	68,9761391698	0,00488401	0,00976801	1541,7921542	0,803610263953
17,5	68,454087433	0,00610501	0,00732601	1536,3289664	0,806467903096
18	68,1930615646	0,00610501	0,00854701	1533,54951441	0,807929570163
18,5	67,6710098278	0,00610501	0,00854701	1527,89518268	0,810919501579
19	67,4099839594	0,00610501	0,00854701	1525,02042029	0,812448137425
19,5	66,8879322226	0,00610501	0,00732601	1519,17600081	0,815573705313
20	66,6269063542	0,00610501	0,00732601	1516,20646501	0,817171030855
20,5	66,1048546174	0,00610501	0,00732601	1510,17304946	0,820435777503
21	65,843828749	0,00610501	0,00976801	1507,10929494	0,822103615286
21,5	65,3217770122	0,00610501	0,00854701	1500,88801032	0,825511291634
22	64,9954946767	0,00610501	0,00854701	1496,93639946	0,827690475322
22,5	64,4734429399	0,00610501	0,00854701	1490,5129025	0,83125748051
23	63,9513912031	0,00610501	0,00854701	1483,96566427	0,834924978276
23,5	63,6903653347	0,00610501	0,00976801	1480,64581163	0,836797018075
