[s],CH2[V]
-5.9780E-02,2.7791428622E+00
-5.9760E-02,2.7597078376E+00
-5.9740E-02,2.7693059499E+00
-5.9720E-02,2.7417905381E+00
-5.9700E-02,2.7325103332E+00
-5.9680E-02,2.7211319971E+00
-5.9660E-02,2.7186167764E+00
-5.9640E-02,2.6774848502E+00
-5.9620E-02,2.6826558155E+00
-5.9600E-02,2.6813087981E+00
-5.9580E-02,2.6411423718E+00
-5.9560E-02,2.6232841047E+00
-5.9540E-02,2.6103309662E+00
-5.9520E-02,2.5946905641E+00
-5.9500E-02,2.6085923702E+00
-5.9480E-02,2.5738813902E+00
-5.9460E-02,2.5716736342E+00
-5.9440E-02,2.5449160597E+00
-5.9420E-02,2.5365860482E+00
-5.9400E-02,2.5297792930E+00
-5.9380E-02,2.4873821271E+00
-5.9360E-02,2.4853098405E+00
-5.9340E-02,2.4967830672E+00
-5.9320E-02,2.4581631668E+00
-5.9300E-02,2.4492982871E+00
-5.9280E-02,2.4195895197E+00
-5.9260E-02,2.4111858369E+00
-5.9240E-02,2.3751236911E+00
-5.9220E-02,2.3740040775E+00
-5.9200E-02,2.3614361757E+00
-5.9180E-02,2.3352710237E+00
-5.9160E-02,2.3210137355E+00
-5.9140E-02,2.3418079367E+00
-5.9120E-02,2.3128093229E+00
-5.9100E-02,2.3084953771E+00
-5.9080E-02,2.2858227235E+00
-5.9060E-02,2.2615058878E+00
-5.9040E-02,2.2060060948E+00
-5.9020E-02,2.2704117755E+00
-5.9000E-02,2.2178831073E+00
-5.8980E-02,2.1993117302E+00
-5.8960E-02,2.1793400731E+00
-5.8940E-02,2.1450818977E+00
-5.8920E-02,2.1539220296E+00
-5.8900E-02,2.1221731621E+00
-5.8880E-02,2.1228716808E+00
-5.8860E-02,2.1215506988E+00
-5.8840E-02,2.0854021025E+00
-5.8820E-02,2.0480417198E+00
-5.8800E-02,2.0316311781E+00
-5.8780E-02,2.0286132756E+00
-5.8760E-02,1.9998898446E+00
-5.8740E-02,1.9909705100E+00
-5.8720E-02,1.9410593441E+00
-5.8700E-02,1.9532108240E+00
-5.8680E-02,1.9572232657E+00
-5.8660E-02,1.9216901230E+00
-5.8640E-02,1.8715449731E+00
-5.8620E-02,1.8690199295E+00
-5.8600E-02,1.8376467620E+00
-5.8580E-02,1.8410355961E+00
-5.8560E-02,1.8104783923E+00
-5.8540E-02,1.7808885958E+00
-5.8520E-02,1.7770684626E+00
-5.8500E-02,1.7521244906E+00
-5.8480E-02,1.7161171334E+00
-5.8460E-02,1.7118714706E+00
-5.8440E-02,1.6967594995E+00
-5.8420E-02,1.6690558324E+00
-5.8400E-02,1.6734001528E+00
-5.8380E-02,1.6920720471E+00
-5.8360E-02,1.6523227580E+00
-5.8340E-02,1.6211934927E+00
-5.8320E-02,1.6112949730E+00
-5.8300E-02,1.5719158049E+00
-5.8280E-02,1.6038303256E+00
-5.8260E-02,1.5296257365E+00
-5.8240E-02,1.5405215611E+00
